framework,action_category,energy_action
Playwright,drag & drop,0.457782847619055
Playwright,drag & drop,0.44706076428572317
Playwright,drag & drop,0.43576951428571464
Playwright,drag & drop,0.46195493095236817
Playwright,drag & drop,0.45409909761904726
Playwright,drag & drop,0.4748886809523717
Playwright,drag & drop,0.4507640976190469
Playwright,drag & drop,0.44576159761904655
Playwright,drag & drop,0.4528453476190464
Playwright,drag & drop,0.45034451428571304
Playwright,drag & drop,0.4503474309523803
Playwright,drag & drop,0.42993784761904846
Playwright,drag & drop,0.46242409761904557
Playwright,drag & drop,0.44696493095237005
Playwright,drag & drop,0.45451034761904624
Playwright,drag & drop,0.45285159761904775
Playwright,drag & drop,0.45742201428571183
Playwright,drag & drop,0.4486907642857156
Playwright,drag & drop,0.4657082642857021
Playwright,drag & drop,0.43826784761904763
Playwright,drag & drop,0.4436740976190457
Playwright,drag & drop,0.4557732642857155
Playwright,drag & drop,0.4623886809523718
Playwright,input text,0.4698870142857048
Playwright,input text,0.4753565976190488
Playwright,input text,0.43571118095236966
Playwright,input text,0.4823861809523713
Playwright,input text,0.4841007642857143
Playwright,input text,0.481178264285713
Playwright,input text,0.42993326428571416
Playwright,input text,0.4686836809523808
Playwright,input text,0.4536753476190459
Playwright,input text,0.4270136809523803
Playwright,input text,0.47534909761904726
Playwright,input text,0.4865590976190391
Playwright,input text,0.46826868095238133
Playwright,input text,0.43451159761904645
Playwright,input text,0.5011770142857127
Playwright,input text,0.4495128476190466
Playwright,input text,0.4299420142856841
Playwright,input text,0.47665159761887
Playwright,input text,0.48659368095240224
Playwright,input text,0.4257690976190389
Playwright,input text,0.48076493095238637
Playwright,input text,0.4857720142856954
Playwright,input text,0.4836295142858987
Playwright,input text,0.44456368095221904
Playwright,input text,0.47826076428573416
Playwright,input text,0.47742868095239643
Playwright,input text,0.42743243095238365
